timestamp,username,role,event,detail,ip
2026-05-15 11:09:38,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 11:18:08,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 11:18:08,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 11:18:58,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 11:19:00,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-15 11:19:03,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-15 11:19:07,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:19:48,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:19:52,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:19:57,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:00,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:09,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:09,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:10,Div-dev,admin,USER_CREATED,created user: user1 (role=user),localhost
2026-05-15 11:20:10,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:22,Div-dev,admin,PAGE_VIEW,Admin Panel,localhost
2026-05-15 11:20:22,Div-dev,admin,LOGOUT,,localhost
2026-05-15 11:20:41,user1,user,LOGIN_SUCCESS,,localhost
2026-05-15 11:20:41,user1,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 11:20:52,user1,user,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 11:20:53,user1,user,PAGE_VIEW,At-Risk Customers,localhost
2026-05-15 11:21:07,user1,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 11:21:14,user1,user,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 11:21:14,user1,user,LOGOUT,,localhost
2026-05-15 11:21:36,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 11:21:36,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 11:21:40,Div-dev,admin,PAGE_VIEW,Model Performance,localhost
2026-05-15 11:21:55,Div-dev,admin,PAGE_VIEW,At-Risk Customers,localhost
2026-05-15 13:41:15,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-15 13:41:15,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-15 13:41:41,Div-dev,admin,USER_CREATED,created user: testuser_pytest (role=user),localhost
2026-05-15 13:41:41,Div-dev,admin,USER_DELETED,deleted user: testuser_pytest,localhost
2026-05-15 13:44:19,Div-dev,admin,LOGIN_SUCCESS,,localhost
2026-05-15 13:44:20,Div-dev,admin,PAGE_VIEW,Executive Dashboard,localhost
2026-05-15 13:44:43,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
2026-05-15 13:44:53,Div-dev,admin,PAGE_VIEW,Churn Predictor,localhost
